epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,10.2766,2.40279,4.08064,2.13155,0,0,0,0,5.26223,7.95409,3.66772,3.334e-05,3.334e-05,3.334e-05
2,23.9868,2.54656,3.86238,2.11859,0.00695,0.71429,0.38866,0.14453,2.78212,4.71162,1.86019,8.05995e-05,8.05995e-05,8.05995e-05
3,38.0711,1.9706,3.48971,1.7855,0.00823,0.85714,0.68801,0.3034,2.12549,3.86205,1.46987,0.000124558,0.000124558,0.000124558
4,51.0641,1.86534,3.15498,1.67178,0.00865,0.92857,0.68664,0.32402,1.82612,3.56347,1.6293,0.000165216,0.000165216,0.000165216
5,64.1699,1.62001,2.57241,1.49475,0.00847,0.92857,0.54557,0.23988,2.09927,3.63235,1.92806,0.000202574,0.000202574,0.000202574
6,79.7023,1.40378,2.42384,1.33315,0.00697,0.78571,0.54088,0.23609,2.10943,3.67638,1.68215,0.000236631,0.000236631,0.000236631
7,98.435,1.80287,2.38552,1.5207,0.00845,0.92857,0.64142,0.26584,1.85596,3.65104,1.44003,0.000267387,0.000267387,0.000267387
8,123.816,1.66467,2.34679,1.46897,0.00876,0.92857,0.70126,0.2782,2.05341,3.75699,1.41535,0.000294842,0.000294842,0.000294842
9,148.344,1.51844,2.15645,1.25197,0.00972,1,0.57947,0.17952,2.32596,3.92233,1.48066,0.000318997,0.000318997,0.000318997
10,173.272,1.48116,2.11309,1.3595,0.00985,1,0.45847,0.1351,2.36108,3.88319,1.48082,0.000339851,0.000339851,0.000339851
11,196.753,1.53159,1.97842,1.28093,0.00925,0.92857,0.52207,0.16081,2.10595,3.88678,1.57672,0.000357405,0.000357405,0.000357405
12,213.16,1.37676,1.96387,1.2955,0.00883,0.92857,0.6178,0.21251,2.07338,3.65839,1.4591,0.000371658,0.000371658,0.000371658
13,231.759,1.57125,1.90196,1.34892,0.00903,1,0.67241,0.29951,1.89594,3.28827,1.31617,0.00038261,0.00038261,0.00038261
14,249.212,1.30845,1.81682,1.22629,0.16991,0.92857,0.68323,0.32485,1.86466,3.11743,1.26149,0.000390261,0.000390261,0.000390261
15,265.651,1.48336,1.83131,1.35881,0.78972,0.53837,0.70273,0.29425,2.04214,3.12048,1.30469,0.000394612,0.000394612,0.000394612
16,277.429,1.58225,1.944,1.39952,0.64078,0.51042,0.63078,0.29091,2.04907,3.1534,1.28508,0.000395662,0.000395662,0.000395662
17,289.456,1.37818,1.82241,1.29292,0.77455,0.57143,0.65454,0.29605,2.0088,3.07025,1.26963,0.000393412,0.000393412,0.000393412
18,302.043,1.4666,1.84011,1.30573,0.80032,0.5727,0.641,0.32428,2.01714,3.02864,1.27051,0.000387861,0.000387861,0.000387861
19,314.493,1.43708,2.02443,1.36897,0.74871,0.57143,0.64407,0.34103,1.76476,2.97397,1.21208,0.000379009,0.000379009,0.000379009
20,327.609,1.27182,1.69266,1.20429,0.79469,0.55436,0.61443,0.3244,1.79408,2.83014,1.22614,0.000366857,0.000366857,0.000366857
21,340.32,1.30359,2.29763,1.20899,0.80219,0.58004,0.62982,0.2977,1.90116,2.70093,1.25232,0.000351404,0.000351404,0.000351404
22,353.094,1.39938,2.08518,1.34399,0.66788,0.64286,0.56114,0.20855,2.23139,2.82348,1.39849,0.00033265,0.00033265,0.00033265
23,366.62,1.92268,2.91129,1.7533,0.43579,0.57143,0.36509,0.1432,2.27945,2.96014,1.42865,0.000310595,0.000310595,0.000310595
24,380.556,1.54547,2.1342,1.27818,0.68738,0.62912,0.64544,0.27458,2.03907,2.51578,1.23957,0.00028524,0.00028524,0.00028524
25,394.364,1.27961,2.01188,1.2922,0.90577,0.68819,0.83764,0.40669,1.75275,2.29598,1.08453,0.000256585,0.000256585,0.000256585
26,407.911,1.55576,2.40675,1.25686,0.7757,0.74233,0.82517,0.41801,1.72947,2.27571,1.0629,0.000224628,0.000224628,0.000224628
27,426.014,1.26469,1.93336,1.16525,0.84284,0.76723,0.84179,0.41896,1.70405,2.29109,1.06386,0.000189371,0.000189371,0.000189371
28,443.465,1.45087,2.11623,1.32856,0.85484,0.84215,0.85278,0.39626,1.68222,2.33583,1.06431,0.000150813,0.000150813,0.000150813
29,461.951,1.34754,2.10256,1.2757,0.85484,0.84215,0.85278,0.39626,1.68222,2.33583,1.06431,0.000108955,0.000108955,0.000108955
30,477.143,1.24721,2.07655,1.18162,0.84371,0.78571,0.84002,0.40453,1.64829,2.32327,1.05973,6.37961e-05,6.37961e-05,6.37961e-05
